bild;name;position
bilder/Bild1.jpg;Adolf Hitler;Führer und Reichskanzler
bilder/Bild2.jpg;Dr. Joseph Goebbels;Reichspropagandaminister
bilder/Bild3.jpg;Hermann Göring;Oberbefehlshaber der Luftwaffe
bilder/Bild4.jpg;Joachim von Ribbentrop;Reichsaußenminister
bilder/Bild5.jpg;Rudolf Heß;Stellvertreter Hitlers (StdF)
bilder/Bild6.jpg;Heinrich Himmler;Reichsführer SS
bilder/Bild7.jpg;Julius Streicher;Verleger ("Der Stürmer")
bilder/Bild8.jpg;Baldur von Schirach;Reichsjugendführer (HJ, BDM)
bilder/Bild9.jpg;Reinhard Heydrich;Stv. Protektor Böhmen & Mähren, Leiter SD
bilder/Bild10.jpg;Adolf Eichmann;Leiter Reichssicherheitshauptamt, Deportation 1,5 Mio Juden
bilder/Bild11.jpg;Albert Speer;Architekt monumentaler Bauwerke, Leiter Kriegswirtschaft
bilder/Bild12.jpg;Rudolf Höß;Kommandant KZ Auschwitz
bilder/Bild13.jpg;Roland Freisler;Präsident des Volksgerichtshofes (>2500 Todesurteile)
bilder/Bild14.jpg;Erwin Rommel;Generalfeldmarschal (Afrikakorps Panzerkrieg, Antlantikwall)
bilder/Bild15.jpg;Karl Dönitz;Großadmiral / Oberbefehlshafer Kriegsmarine
bilder/Bild16.jpg;Martin Bormann;Reichsleiter der NSDAP, Sekretär des Führers